City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
120,Mahibadhoo,MV,3.7833,72.9667,79.72,67,67,14.16,broken clouds
121,Dong Hoi,VN,17.4833,106.6,71.64,82,0,6.98,clear sky
122,Quatre Cocos,MU,-20.2078,57.7625,82.51,69,29,12.86,scattered clouds
123,Sitka,US,57.0531,-135.33,38.62,89,100,7.52,light rain
124,Barbastro,ES,42.0356,0.1269,59.54,45,43,3.56,scattered clouds
125,Negombo,LK,7.2083,79.8358,78.85,83,20,3.44,few clouds
126,Sainte-Anne-Des-Monts,CA,49.124,-66.4924,26.47,86,100,6.91,light snow
127,Pathein,MM,16.7833,94.7333,67.3,68,0,7.49,clear sky
128,Charagua,BO,-19.8,-63.2167,78.37,80,69,12.88,broken clouds
129,Lavrentiya,RU,65.5833,-171.0,-1.77,94,100,6.73,overcast clouds
130,Barrow,US,71.2906,-156.7887,-0.94,86,100,24.49,overcast clouds
131,Gladstone,AU,-23.85,151.25,69.73,88,100,3.44,light rain
132,Baryatino,RU,54.3121,34.521,21.56,89,97,9.53,overcast clouds
133,Luderitz,NA,-26.6481,15.1594,74.7,60,8,27.07,clear sky
134,Mar Del Plata,AR,-38.0023,-57.5575,69.94,63,20,18.41,few clouds
135,Lata,PT,40.1629,-8.3327,64.08,61,78,1.3,broken clouds
136,Saraland,US,30.8207,-88.0706,47.05,73,99,10.29,overcast clouds
137,Port Lincoln,AU,-34.7333,135.8667,73.38,58,0,7.4,clear sky
138,Kasamwa,TZ,-2.85,32.4333,76.96,58,26,1.21,light rain
139,Ginda,IN,30.6945,78.4932,39.43,74,65,5.06,broken clouds
140,Piopio,NZ,-38.4667,175.0167,53.15,93,35,0.56,scattered clouds
141,Orcopampa,PE,-15.2661,-72.3417,54.25,20,96,3.06,overcast clouds
142,Samarai,PG,-10.6167,150.6667,80.42,81,87,4.68,overcast clouds
143,Srandakan,ID,-7.9386,110.2506,79.29,75,98,1.1,overcast clouds
144,Hofn,IS,64.2539,-15.2082,28.42,59,40,11.5,scattered clouds
145,Karatau,KZ,43.1667,70.4667,-2.49,94,24,3.4,few clouds
146,Gazli,UZ,40.1333,63.45,14.43,63,1,11.39,clear sky
147,Wana,PK,32.2989,69.5725,31.23,28,0,8.32,clear sky
148,Tongliao,CN,43.6125,122.2653,13.26,29,100,15.99,overcast clouds
149,Dikson,RU,73.5069,80.5464,-31.85,91,14,10.45,few clouds
150,Ambovombe,MG,-25.1667,46.0833,80.78,74,5,20.22,clear sky
151,Dali,CN,25.7,100.1833,43.77,54,0,6.46,clear sky
152,Hangu,CN,39.2489,117.7892,33.84,34,100,18.81,overcast clouds
153,Airai,TL,-8.9266,125.4092,62.08,96,100,0.31,overcast clouds
154,Isangel,VU,-19.55,169.2667,76.33,79,10,8.84,clear sky
155,San Patricio,US,28.017,-97.5169,49.84,52,0,7.76,clear sky
156,Cayenne,GF,4.9333,-52.3333,77.04,94,75,8.05,broken clouds
157,Byron Bay,AU,-28.65,153.6167,65.95,82,98,6.53,light rain
158,Batetskiy,RU,58.6461,30.3027,34.39,98,100,11.07,overcast clouds
159,Samfya,ZM,-11.3649,29.5565,65.39,93,95,6.29,light rain
160,Kodiak,US,57.79,-152.4072,38.71,93,100,16.11,light rain
161,Matai,TZ,-8.3,31.5167,76.44,87,84,3.53,light rain
